Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,,Sensor1-R,Sensor2-R,Sensor3-R,Sensor4-R,Sensor5-R
15:55.3,0.37576,0.41724,0.43676,1.11508,1.5006,,9.9918,1.44448,4.02112,1.44448,0.2074
15:56.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:57.3,0.30988,0.48556,0.65392,1.41276,7.77384,,9.9918,1.3542,1.5372,1.35176,0.61244
15:58.4,0.89792,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:59.3,0.00244,1.39812,1.05896,4.72628,9.9918,,9.9918,1.05408,3.95768,1.04676,0.37332
16:00.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:01.3,0.04392,1.47132,0.50264,9.9918,9.9918,,9.9918,1.38836,1.769,1.38348,0.41236
16:02.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:03.4,0.06344,0.97112,0.56364,4.30172,9.9918,,9.9918,0.82228,3.08416,0.81984,3.80884
16:04.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:05.3,0.05368,0.8418,0.671,2.9402,9.9918,,9.9918,1.07848,9.9918,1.06628,0.1952
16:06.4,0.30012,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:07.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,1.13216,4.6848,1.12728,0.5368
16:08.4,0.00976,2.51564,0.99308,9.9918,9.9918,,9.9918,1.3542,9.9918,1.35908,0.59048
16:09.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:10.3,0.11468,0.63196,1.14924,0.92476,4.1358,,9.9918,0.78812,1.33224,0.78812,2.16184
16:11.4,0.13664,9.9918,3.0012,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:12.4,0.46604,0.40748,0.79544,0.85888,3.90888,,9.9918,0.8906,0.65148,0.88084,2.89384
16:13.3,0.122,3.02316,2.04716,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:14.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,0.4392,1.52256,0.44408,9.9918
16:15.4,0.01708,1.71776,0.99308,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
16:16.4,9.9918,9.9918,9.9918,8.11544,2.47172,,9.9918,0.9394,3.86252,0.9394,0.2806
16:17.4,0.07564,1.0492,1.28832,1.24684,2.95484,,9.9918,9.9918,9.9918,9.9918,9.9918
16:18.4,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,1.08092,7.89096,1.08092,0.15616
16:19.4,0.05612,1.22244,1.28588,1.67384,3.95036,,9.9918,2.86212,9.9918,2.88164,9.9918
